roc threshold = 7.230510e-02 ; pd = 8.425197e-01 ; fa = 177   ; nMatches = 749   ; tp = 631   ; fp = 177   ; tn = 13    ; fn = 12    ; matched = 643   ; relevant = 808   ; nTrueTracks = 889   ; fa-norm = 1.770000e+02
roc threshold = 7.693620e-02 ; pd = 8.425197e-01 ; fa = 176   ; nMatches = 749   ; tp = 631   ; fp = 176   ; tn = 14    ; fn = 12    ; matched = 643   ; relevant = 807   ; nTrueTracks = 889   ; fa-norm = 1.760000e+02
roc threshold = 7.822230e-02 ; pd = 8.425197e-01 ; fa = 176   ; nMatches = 749   ; tp = 630   ; fp = 176   ; tn = 14    ; fn = 13    ; matched = 643   ; relevant = 806   ; nTrueTracks = 889   ; fa-norm = 1.760000e+02
roc threshold = 7.867910e-02 ; pd = 8.413948e-01 ; fa = 176   ; nMatches = 748   ; tp = 629   ; fp = 176   ; tn = 14    ; fn = 14    ; matched = 643   ; relevant = 805   ; nTrueTracks = 889   ; fa-norm = 1.760000e+02
roc threshold = 7.968880e-02 ; pd = 8.413948e-01 ; fa = 176   ; nMatches = 748   ; tp = 628   ; fp = 176   ; tn = 14    ; fn = 15    ; matched = 643   ; relevant = 804   ; nTrueTracks = 889   ; fa-norm = 1.760000e+02
roc threshold = 8.002520e-02 ; pd = 8.413948e-01 ; fa = 176   ; nMatches = 748   ; tp = 627   ; fp = 176   ; tn = 14    ; fn = 16    ; matched = 643   ; relevant = 803   ; nTrueTracks = 889   ; fa-norm = 1.760000e+02
roc threshold = 8.302260e-02 ; pd = 8.413948e-01 ; fa = 175   ; nMatches = 748   ; tp = 627   ; fp = 175   ; tn = 15    ; fn = 16    ; matched = 643   ; relevant = 802   ; nTrueTracks = 889   ; fa-norm = 1.750000e+02
roc threshold = 9.066270e-02 ; pd = 8.413948e-01 ; fa = 175   ; nMatches = 748   ; tp = 626   ; fp = 175   ; tn = 15    ; fn = 17    ; matched = 643   ; relevant = 801   ; nTrueTracks = 889   ; fa-norm = 1.750000e+02
roc threshold = 9.491590e-02 ; pd = 8.413948e-01 ; fa = 175   ; nMatches = 748   ; tp = 625   ; fp = 175   ; tn = 15    ; fn = 18    ; matched = 643   ; relevant = 800   ; nTrueTracks = 889   ; fa-norm = 1.750000e+02
roc threshold = 9.623890e-02 ; pd = 8.413948e-01 ; fa = 175   ; nMatches = 748   ; tp = 624   ; fp = 175   ; tn = 15    ; fn = 19    ; matched = 643   ; relevant = 799   ; nTrueTracks = 889   ; fa-norm = 1.750000e+02
roc threshold = 9.634420e-02 ; pd = 8.413948e-01 ; fa = 175   ; nMatches = 748   ; tp = 623   ; fp = 175   ; tn = 15    ; fn = 20    ; matched = 643   ; relevant = 798   ; nTrueTracks = 889   ; fa-norm = 1.750000e+02
roc threshold = 1.019340e-01 ; pd = 8.413948e-01 ; fa = 174   ; nMatches = 748   ; tp = 623   ; fp = 174   ; tn = 16    ; fn = 20    ; matched = 643   ; relevant = 797   ; nTrueTracks = 889   ; fa-norm = 1.740000e+02
roc threshold = 1.020640e-01 ; pd = 8.413948e-01 ; fa = 174   ; nMatches = 748   ; tp = 622   ; fp = 174   ; tn = 16    ; fn = 21    ; matched = 643   ; relevant = 796   ; nTrueTracks = 889   ; fa-norm = 1.740000e+02
roc threshold = 1.056730e-01 ; pd = 8.413948e-01 ; fa = 173   ; nMatches = 748   ; tp = 622   ; fp = 173   ; tn = 17    ; fn = 21    ; matched = 643   ; relevant = 795   ; nTrueTracks = 889   ; fa-norm = 1.730000e+02
roc threshold = 1.108290e-01 ; pd = 8.413948e-01 ; fa = 173   ; nMatches = 748   ; tp = 621   ; fp = 173   ; tn = 17    ; fn = 22    ; matched = 643   ; relevant = 794   ; nTrueTracks = 889   ; fa-norm = 1.730000e+02
roc threshold = 1.115690e-01 ; pd = 8.413948e-01 ; fa = 173   ; nMatches = 748   ; tp = 620   ; fp = 173   ; tn = 17    ; fn = 23    ; matched = 643   ; relevant = 793   ; nTrueTracks = 889   ; fa-norm = 1.730000e+02
roc threshold = 1.139430e-01 ; pd = 8.413948e-01 ; fa = 172   ; nMatches = 748   ; tp = 620   ; fp = 172   ; tn = 18    ; fn = 23    ; matched = 643   ; relevant = 792   ; nTrueTracks = 889   ; fa-norm = 1.720000e+02
roc threshold = 1.164230e-01 ; pd = 8.413948e-01 ; fa = 171   ; nMatches = 748   ; tp = 620   ; fp = 171   ; tn = 19    ; fn = 23    ; matched = 643   ; relevant = 791   ; nTrueTracks = 889   ; fa-norm = 1.710000e+02
roc threshold = 1.196600e-01 ; pd = 8.413948e-01 ; fa = 170   ; nMatches = 748   ; tp = 620   ; fp = 170   ; tn = 20    ; fn = 23    ; matched = 643   ; relevant = 790   ; nTrueTracks = 889   ; fa-norm = 1.700000e+02
roc threshold = 1.197660e-01 ; pd = 8.413948e-01 ; fa = 169   ; nMatches = 748   ; tp = 620   ; fp = 169   ; tn = 21    ; fn = 23    ; matched = 643   ; relevant = 789   ; nTrueTracks = 889   ; fa-norm = 1.690000e+02
roc threshold = 1.202250e-01 ; pd = 8.413948e-01 ; fa = 169   ; nMatches = 748   ; tp = 619   ; fp = 169   ; tn = 21    ; fn = 24    ; matched = 643   ; relevant = 788   ; nTrueTracks = 889   ; fa-norm = 1.690000e+02
roc threshold = 1.205680e-01 ; pd = 8.413948e-01 ; fa = 169   ; nMatches = 748   ; tp = 618   ; fp = 169   ; tn = 21    ; fn = 25    ; matched = 643   ; relevant = 787   ; nTrueTracks = 889   ; fa-norm = 1.690000e+02
roc threshold = 1.260740e-01 ; pd = 8.413948e-01 ; fa = 168   ; nMatches = 748   ; tp = 618   ; fp = 168   ; tn = 22    ; fn = 25    ; matched = 643   ; relevant = 786   ; nTrueTracks = 889   ; fa-norm = 1.680000e+02
roc threshold = 1.300030e-01 ; pd = 8.413948e-01 ; fa = 168   ; nMatches = 748   ; tp = 617   ; fp = 168   ; tn = 22    ; fn = 26    ; matched = 643   ; relevant = 785   ; nTrueTracks = 889   ; fa-norm = 1.680000e+02
roc threshold = 1.313300e-01 ; pd = 8.413948e-01 ; fa = 167   ; nMatches = 748   ; tp = 617   ; fp = 167   ; tn = 23    ; fn = 26    ; matched = 643   ; relevant = 784   ; nTrueTracks = 889   ; fa-norm = 1.670000e+02
roc threshold = 1.398520e-01 ; pd = 8.413948e-01 ; fa = 166   ; nMatches = 748   ; tp = 617   ; fp = 166   ; tn = 24    ; fn = 26    ; matched = 643   ; relevant = 783   ; nTrueTracks = 889   ; fa-norm = 1.660000e+02
roc threshold = 1.426130e-01 ; pd = 8.413948e-01 ; fa = 166   ; nMatches = 748   ; tp = 616   ; fp = 166   ; tn = 24    ; fn = 27    ; matched = 643   ; relevant = 782   ; nTrueTracks = 889   ; fa-norm = 1.660000e+02
roc threshold = 1.451340e-01 ; pd = 8.413948e-01 ; fa = 165   ; nMatches = 748   ; tp = 616   ; fp = 165   ; tn = 25    ; fn = 27    ; matched = 643   ; relevant = 781   ; nTrueTracks = 889   ; fa-norm = 1.650000e+02
roc threshold = 1.460990e-01 ; pd = 8.413948e-01 ; fa = 164   ; nMatches = 748   ; tp = 616   ; fp = 164   ; tn = 26    ; fn = 27    ; matched = 643   ; relevant = 780   ; nTrueTracks = 889   ; fa-norm = 1.640000e+02
roc threshold = 1.478470e-01 ; pd = 8.413948e-01 ; fa = 163   ; nMatches = 748   ; tp = 616   ; fp = 163   ; tn = 27    ; fn = 27    ; matched = 643   ; relevant = 779   ; nTrueTracks = 889   ; fa-norm = 1.630000e+02
roc threshold = 1.496810e-01 ; pd = 8.413948e-01 ; fa = 162   ; nMatches = 748   ; tp = 616   ; fp = 162   ; tn = 28    ; fn = 27    ; matched = 643   ; relevant = 778   ; nTrueTracks = 889   ; fa-norm = 1.620000e+02
roc threshold = 1.558160e-01 ; pd = 8.413948e-01 ; fa = 162   ; nMatches = 748   ; tp = 615   ; fp = 162   ; tn = 28    ; fn = 28    ; matched = 643   ; relevant = 777   ; nTrueTracks = 889   ; fa-norm = 1.620000e+02
