Image Name,Annotation Name,Confidence Score,True,False,# True Positives,# False Positives,# Inv FP,# False Negatives,Precision,Recall,Specificity
str,str,float,bool,bool,int,int,int,int,float,float,float
18ZC5757,72,1.0,1,0,1,0,101,1222,1.0,0.0008176614881439084,1.0
18ZC5757,106,1.0,1,0,2,0,101,1221,1.0,0.001635322976287817,1.0
18ZC5064,61,1.0,1,0,3,0,101,1220,1.0,0.0024529844644317253,1.0
18ZC5064,291,1.0,1,0,4,0,101,1219,1.0,0.003270645952575634,1.0
18ZC5064,234,1.0,1,0,5,0,101,1218,1.0,0.004088307440719542,1.0
18ZC5064,151,1.0,1,0,6,0,101,1217,1.0,0.004905968928863451,1.0
18ZC5063,60,1.0,1,0,7,0,101,1216,1.0,0.005723630417007359,1.0
18ZC5063,138,1.0,1,0,8,0,101,1215,1.0,0.006541291905151268,1.0
18ZC4890,2,1.0,1,0,9,0,101,1214,1.0,0.007358953393295176,1.0
18ZC5757,36,0.999999,1,0,10,0,101,1213,1.0,0.008176614881439084,1.0
18ZC5757,30,0.999999,1,0,11,0,101,1212,1.0,0.008994276369582993,1.0
18ZC5757,13,0.999999,1,0,12,0,101,1211,1.0,0.009811937857726901,1.0
18ZC5064,274,0.999999,1,0,13,0,101,1210,1.0,0.01062959934587081,1.0
18ZC5064,255,0.999999,1,0,14,0,101,1209,1.0,0.011447260834014717,1.0
18ZC5064,165,0.999999,1,0,15,0,101,1208,1.0,0.012264922322158627,1.0
18ZC5064,164,0.999999,1,0,16,0,101,1207,1.0,0.013082583810302535,1.0
18ZC5064,108,0.999999,1,0,17,0,101,1206,1.0,0.013900245298446443,1.0
18ZC5063,11,0.999999,1,0,18,0,101,1205,1.0,0.014717906786590351,1.0
18ZC5757,215,0.999998,1,0,19,0,101,1204,1.0,0.01553556827473426,1.0
18ZC5757,134,0.999998,1,0,20,0,101,1203,1.0,0.016353229762878167,1.0
18ZC5064,316,0.999998,1,0,21,0,101,1202,1.0,0.017170891251022075,1.0
18ZC5064,293,0.999998,1,0,22,0,101,1201,1.0,0.017988552739165987,1.0
18ZC5064,292,0.999998,1,0,23,0,101,1200,1.0,0.018806214227309895,1.0
18ZC5064,200,0.999998,1,0,24,0,101,1199,1.0,0.019623875715453803,1.0
18ZC5064,187,0.999998,1,0,25,0,101,1198,1.0,0.02044153720359771,1.0
18ZC4890,61,0.999998,1,0,26,0,101,1197,1.0,0.02125919869174162,1.0
18ZC4890,60,0.999998,1,0,27,0,101,1196,1.0,0.022076860179885527,1.0
18ZC4890,59,0.999998,1,0,28,0,101,1195,1.0,0.022894521668029435,1.0
18ZC4890,17,0.999998,1,0,29,0,101,1194,1.0,0.023712183156173343,1.0
18ZC4890,16,0.999998,1,0,30,0,101,1193,1.0,0.024529844644317254,1.0
18ZC5757,82,0.999997,1,0,31,0,101,1192,1.0,0.025347506132461162,1.0
18ZC5757,222,0.999997,1,0,32,0,101,1191,1.0,0.02616516762060507,1.0
18ZC5064,62,0.999997,1,0,33,0,101,1190,1.0,0.02698282910874898,1.0
18ZC5064,294,0.999997,1,0,34,0,101,1189,1.0,0.027800490596892886,1.0
18ZC5064,220,0.999997,1,0,35,0,101,1188,1.0,0.028618152085036794,1.0
18ZC5064,0,0.999997,1,0,36,0,101,1187,1.0,0.029435813573180702,1.0
18ZC5063,62,0.999997,1,0,37,0,101,1186,1.0,0.03025347506132461,1.0
18ZC5063,61,0.999997,1,0,38,0,101,1185,1.0,0.03107113654946852,1.0
18ZC4890,3,0.999997,1,0,39,0,101,1184,1.0,0.03188879803761243,1.0
18ZC4773,40,0.999997,1,0,40,0,101,1183,1.0,0.032706459525756335,1.0
18ZC5757,49,0.999996,1,0,41,0,101,1182,1.0,0.033524121013900246,1.0
18ZC5757,48,0.999996,1,0,42,0,101,1181,1.0,0.03434178250204415,1.0
18ZC5757,31,0.999996,1,0,43,0,101,1180,1.0,0.03515944399018806,1.0
18ZC5757,230,0.999996,1,0,44,0,101,1179,1.0,0.035977105478331974,1.0
18ZC5757,160,0.999996,1,0,45,0,101,1178,1.0,0.03679476696647588,1.0
18ZC5757,14,0.999996,1,0,46,0,101,1177,1.0,0.03761242845461979,1.0
18ZC5757,10,0.999996,1,0,47,0,101,1176,1.0,0.038430089942763694,1.0
18ZC5064,34,0.999996,1,0,48,0,101,1175,1.0,0.039247751430907606,1.0
18ZC5063,130,0.999996,1,0,49,0,101,1174,1.0,0.04006541291905151,1.0
18ZC5063,0,0.999996,1,0,50,0,101,1173,1.0,0.04088307440719542,1.0
18ZC4890,13,0.999996,1,0,51,0,101,1172,1.0,0.041700735895339326,1.0
18ZC5064,295,0.999995,1,0,52,0,101,1171,1.0,0.04251839738348324,1.0
18ZC5064,166,0.999995,1,0,53,0,101,1170,1.0,0.04333605887162715,1.0
18ZC5064,109,0.999995,1,0,54,0,101,1169,1.0,0.044153720359771054,1.0
18ZC5063,104,0.999995,1,0,55,0,101,1168,1.0,0.044971381847914965,1.0
18ZC4890,14,0.999995,1,0,56,0,101,1167,1.0,0.04578904333605887,1.0
18ZC4773,23,0.999995,1,0,57,0,101,1166,1.0,0.04660670482420278,1.0
18ZC5757,83,0.999994,1,0,58,0,101,1165,1.0,0.047424366312346686,1.0
18ZC5757,76,0.999994,0,1,58,1,100,1165,0.9830508474576272,0.047424366312346686,0.9900990099009901
18ZC5757,234,0.999994,1,0,59,1,100,1164,0.9833333333333333,0.0482420278004906,0.9900990099009901
18ZC5757,156,0.999994,1,0,60,1,100,1163,0.9836065573770492,0.04905968928863451,0.9900990099009901
18ZC5757,143,0.999994,1,0,61,1,100,1162,0.9838709677419355,0.04987735077677841,0.9900990099009901
18ZC5757,135,0.999994,1,0,62,1,100,1161,0.9841269841269841,0.050695012264922325,0.9900990099009901
18ZC5064,317,0.999994,1,0,63,1,100,1160,0.984375,0.05151267375306623,0.9900990099009901
18ZC5064,275,0.999994,1,0,64,1,100,1159,0.9846153846153847,0.05233033524121014,0.9900990099009901
18ZC5064,265,0.999994,1,0,65,1,100,1158,0.9848484848484849,0.053147996729354045,0.9900990099009901
18ZC5064,152,0.999994,1,0,66,1,100,1157,0.9850746268656716,0.05396565821749796,0.9900990099009901
18ZC5064,110,0.999994,1,0,67,1,100,1156,0.9852941176470589,0.05478331970564186,0.9900990099009901
18ZC5063,42,0.999994,1,0,68,1,100,1155,0.9855072463768116,0.05560098119378577,0.9900990099009901
18ZC5063,12,0.999994,1,0,69,1,100,1154,0.9857142857142858,0.056418642681929684,0.9900990099009901
18ZC4890,18,0.999994,1,0,70,1,100,1153,0.9859154929577465,0.05723630417007359,0.9900990099009901
18ZC5064,82,0.999993,1,0,71,1,100,1152,0.9861111111111112,0.0580539656582175,0.9900990099009901
18ZC5064,318,0.999993,1,0,72,1,100,1151,0.9863013698630136,0.058871627146361405,0.9900990099009901
18ZC5064,111,0.999993,1,0,73,1,100,1150,0.9864864864864865,0.059689288634505316,0.9900990099009901
18ZC5063,84,0.999993,1,0,74,1,100,1149,0.9866666666666667,0.06050695012264922,0.9900990099009901
18ZC4890,19,0.999993,1,0,75,1,100,1148,0.9868421052631579,0.06132461161079313,0.9900990099009901
18ZC5757,223,0.999992,1,0,76,1,100,1147,0.987012987012987,0.06214227309893704,0.9900990099009901
18ZC5064,345,0.999992,1,0,77,1,100,1146,0.9871794871794872,0.06295993458708095,0.9900990099009901
18ZC5064,244,0.999992,1,0,78,1,100,1145,0.9873417721518988,0.06377759607522486,0.9900990099009901
18ZC5064,201,0.999992,1,0,79,1,100,1144,0.9875,0.06459525756336877,0.9900990099009901
18ZC5063,90,0.999992,1,0,80,1,100,1143,0.9876543209876543,0.06541291905151267,0.9900990099009901
18ZC5063,85,0.999992,1,0,81,1,100,1142,0.9878048780487805,0.06623058053965658,0.9900990099009901
18ZC5063,13,0.999992,1,0,82,1,100,1141,0.9879518072289156,0.06704824202780049,0.9900990099009901
18ZC5063,105,0.999992,1,0,83,1,100,1140,0.9880952380952381,0.0678659035159444,0.9900990099009901
18ZC4890,62,0.999992,1,0,84,1,100,1139,0.9882352941176471,0.0686835650040883,0.9900990099009901
18ZC4890,4,0.999992,1,0,85,1,100,1138,0.9883720930232558,0.06950122649223221,0.9900990099009901
18ZC5064,245,0.999991,1,0,86,1,100,1137,0.9885057471264368,0.07031888798037612,0.9900990099009901
18ZC5757,175,0.99999,1,0,87,1,100,1136,0.9886363636363636,0.07113654946852004,0.9900990099009901
18ZC5064,296,0.99999,1,0,88,1,100,1135,0.9887640449438202,0.07195421095666395,0.9900990099009901
18ZC5064,129,0.99999,1,0,89,1,100,1134,0.9888888888888889,0.07277187244480784,0.9900990099009901
18ZC5063,91,0.99999,1,0,90,1,100,1133,0.989010989010989,0.07358953393295176,0.9900990099009901
18ZC5063,14,0.99999,1,0,91,1,100,1132,0.9891304347826086,0.07440719542109567,0.9900990099009901
18ZC5063,131,0.99999,1,0,92,1,100,1131,0.989247311827957,0.07522485690923958,0.9900990099009901
18ZC5063,112,0.99999,1,0,93,1,100,1130,0.9893617021276596,0.07604251839738348,0.9900990099009901
18ZC5063,1,0.99999,1,0,94,1,100,1129,0.9894736842105263,0.07686017988552739,0.9900990099009901
18ZC5757,84,0.999989,1,0,95,1,100,1128,0.9895833333333334,0.0776778413736713,0.9900990099009901
18ZC5757,211,0.999989,1,0,96,1,100,1127,0.9896907216494846,0.07849550286181521,0.9900990099009901
18ZC5757,161,0.999989,1,0,97,1,100,1126,0.9897959183673469,0.07931316434995912,0.9900990099009901
18ZC5757,136,0.999989,1,0,98,1,100,1125,0.98989898989899,0.08013082583810302,0.9900990099009901
18ZC5063,92,0.999989,1,0,99,1,100,1124,0.99,0.08094848732624693,0.9900990099009901
18ZC5063,43,0.999989,1,0,100,1,100,1123,0.9900990099009901,0.08176614881439084,0.9900990099009901
18ZC5064,319,0.999988,1,0,101,1,100,1122,0.9901960784313726,0.08258381030253475,0.9900990099009901
18ZC5064,276,0.999988,1,0,102,1,100,1121,0.9902912621359223,0.08340147179067865,0.9900990099009901
18ZC5064,130,0.999988,1,0,103,1,100,1120,0.9903846153846154,0.08421913327882256,0.9900990099009901
18ZC5757,50,0.999987,1,0,104,1,100,1119,0.9904761904761905,0.08503679476696648,0.9900990099009901
18ZC5757,235,0.999987,1,0,105,1,100,1118,0.9905660377358491,0.08585445625511039,0.9900990099009901
18ZC5064,202,0.999987,1,0,106,1,100,1117,0.9906542056074766,0.0866721177432543,0.9900990099009901
18ZC5063,30,0.999987,1,0,107,1,100,1116,0.9907407407407407,0.0874897792313982,0.9900990099009901
18ZC4890,47,0.999987,1,0,108,1,100,1115,0.9908256880733946,0.08830744071954211,0.9900990099009901
18ZC4890,20,0.999987,1,0,109,1,100,1114,0.990909090909091,0.08912510220768602,0.9900990099009901
