roc threshold = 1.022350e-02 ; pd = 8.192090e-01 ; fa = 30    ; nMatches = 145   ; tp = 130   ; fp = 30    ; tn = 0     ; fn = 0     ; matched = 130   ; relevant = 160   ; nTrueTracks = 177   ; fa-norm = 3.000000e+01
roc threshold = 1.049450e-02 ; pd = 8.192090e-01 ; fa = 29    ; nMatches = 145   ; tp = 130   ; fp = 29    ; tn = 1     ; fn = 0     ; matched = 130   ; relevant = 159   ; nTrueTracks = 177   ; fa-norm = 2.900000e+01
roc threshold = 1.135400e-02 ; pd = 8.192090e-01 ; fa = 28    ; nMatches = 145   ; tp = 130   ; fp = 28    ; tn = 2     ; fn = 0     ; matched = 130   ; relevant = 158   ; nTrueTracks = 177   ; fa-norm = 2.800000e+01
roc threshold = 1.180970e-02 ; pd = 8.192090e-01 ; fa = 27    ; nMatches = 145   ; tp = 130   ; fp = 27    ; tn = 3     ; fn = 0     ; matched = 130   ; relevant = 157   ; nTrueTracks = 177   ; fa-norm = 2.700000e+01
roc threshold = 1.304450e-02 ; pd = 8.135593e-01 ; fa = 27    ; nMatches = 144   ; tp = 129   ; fp = 27    ; tn = 3     ; fn = 1     ; matched = 130   ; relevant = 156   ; nTrueTracks = 177   ; fa-norm = 2.700000e+01
roc threshold = 1.645680e-02 ; pd = 8.135593e-01 ; fa = 27    ; nMatches = 144   ; tp = 128   ; fp = 27    ; tn = 3     ; fn = 2     ; matched = 130   ; relevant = 155   ; nTrueTracks = 177   ; fa-norm = 2.700000e+01
roc threshold = 2.193510e-02 ; pd = 8.135593e-01 ; fa = 27    ; nMatches = 144   ; tp = 127   ; fp = 27    ; tn = 3     ; fn = 3     ; matched = 130   ; relevant = 154   ; nTrueTracks = 177   ; fa-norm = 2.700000e+01
roc threshold = 2.387740e-02 ; pd = 8.135593e-01 ; fa = 26    ; nMatches = 144   ; tp = 127   ; fp = 26    ; tn = 4     ; fn = 3     ; matched = 130   ; relevant = 153   ; nTrueTracks = 177   ; fa-norm = 2.600000e+01
roc threshold = 2.494610e-02 ; pd = 8.135593e-01 ; fa = 26    ; nMatches = 144   ; tp = 126   ; fp = 26    ; tn = 4     ; fn = 4     ; matched = 130   ; relevant = 152   ; nTrueTracks = 177   ; fa-norm = 2.600000e+01
roc threshold = 2.542120e-02 ; pd = 8.135593e-01 ; fa = 25    ; nMatches = 144   ; tp = 126   ; fp = 25    ; tn = 5     ; fn = 4     ; matched = 130   ; relevant = 151   ; nTrueTracks = 177   ; fa-norm = 2.500000e+01
roc threshold = 2.554020e-02 ; pd = 8.135593e-01 ; fa = 24    ; nMatches = 144   ; tp = 126   ; fp = 24    ; tn = 6     ; fn = 4     ; matched = 130   ; relevant = 150   ; nTrueTracks = 177   ; fa-norm = 2.400000e+01
roc threshold = 3.177040e-02 ; pd = 8.135593e-01 ; fa = 24    ; nMatches = 144   ; tp = 125   ; fp = 24    ; tn = 6     ; fn = 5     ; matched = 130   ; relevant = 149   ; nTrueTracks = 177   ; fa-norm = 2.400000e+01
roc threshold = 3.474710e-02 ; pd = 8.022599e-01 ; fa = 24    ; nMatches = 142   ; tp = 124   ; fp = 24    ; tn = 6     ; fn = 6     ; matched = 130   ; relevant = 148   ; nTrueTracks = 177   ; fa-norm = 2.400000e+01
