roc threshold = 9.988710e-01 ; pd = 8.834951e-01 ; fa = 0     ; nMatches = 91    ; tp = 57    ; fp = 0     ; tn = 0     ; fn = 25    ; matched = 82    ; relevant = 57    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.989350e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 56    ; fp = 0     ; tn = 0     ; fn = 26    ; matched = 82    ; relevant = 56    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.989750e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 55    ; fp = 0     ; tn = 0     ; fn = 27    ; matched = 82    ; relevant = 55    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.990440e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 54    ; fp = 0     ; tn = 0     ; fn = 28    ; matched = 82    ; relevant = 54    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.990730e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 53    ; fp = 0     ; tn = 0     ; fn = 29    ; matched = 82    ; relevant = 53    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.991200e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 52    ; fp = 0     ; tn = 0     ; fn = 30    ; matched = 82    ; relevant = 52    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.992450e-01 ; pd = 8.640777e-01 ; fa = 0     ; nMatches = 89    ; tp = 51    ; fp = 0     ; tn = 0     ; fn = 31    ; matched = 82    ; relevant = 51    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.992470e-01 ; pd = 8.543689e-01 ; fa = 0     ; nMatches = 88    ; tp = 50    ; fp = 0     ; tn = 0     ; fn = 32    ; matched = 82    ; relevant = 50    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.992540e-01 ; pd = 8.446602e-01 ; fa = 0     ; nMatches = 87    ; tp = 49    ; fp = 0     ; tn = 0     ; fn = 33    ; matched = 82    ; relevant = 49    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.993030e-01 ; pd = 8.446602e-01 ; fa = 0     ; nMatches = 87    ; tp = 48    ; fp = 0     ; tn = 0     ; fn = 34    ; matched = 82    ; relevant = 48    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.994000e-01 ; pd = 8.155340e-01 ; fa = 0     ; nMatches = 84    ; tp = 47    ; fp = 0     ; tn = 0     ; fn = 35    ; matched = 82    ; relevant = 47    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.995100e-01 ; pd = 8.155340e-01 ; fa = 0     ; nMatches = 84    ; tp = 46    ; fp = 0     ; tn = 0     ; fn = 36    ; matched = 82    ; relevant = 46    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996320e-01 ; pd = 8.155340e-01 ; fa = 0     ; nMatches = 84    ; tp = 45    ; fp = 0     ; tn = 0     ; fn = 37    ; matched = 82    ; relevant = 45    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996370e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 44    ; fp = 0     ; tn = 0     ; fn = 38    ; matched = 82    ; relevant = 44    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.996640e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 43    ; fp = 0     ; tn = 0     ; fn = 39    ; matched = 82    ; relevant = 43    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998270e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 42    ; fp = 0     ; tn = 0     ; fn = 40    ; matched = 82    ; relevant = 42    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998290e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 41    ; fp = 0     ; tn = 0     ; fn = 41    ; matched = 82    ; relevant = 41    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998570e-01 ; pd = 8.058252e-01 ; fa = 0     ; nMatches = 83    ; tp = 40    ; fp = 0     ; tn = 0     ; fn = 42    ; matched = 82    ; relevant = 40    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998770e-01 ; pd = 7.961165e-01 ; fa = 0     ; nMatches = 82    ; tp = 39    ; fp = 0     ; tn = 0     ; fn = 43    ; matched = 82    ; relevant = 39    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998810e-01 ; pd = 7.766990e-01 ; fa = 0     ; nMatches = 80    ; tp = 38    ; fp = 0     ; tn = 0     ; fn = 44    ; matched = 82    ; relevant = 38    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.998910e-01 ; pd = 7.766990e-01 ; fa = 0     ; nMatches = 80    ; tp = 37    ; fp = 0     ; tn = 0     ; fn = 45    ; matched = 82    ; relevant = 37    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999070e-01 ; pd = 7.475728e-01 ; fa = 0     ; nMatches = 77    ; tp = 36    ; fp = 0     ; tn = 0     ; fn = 46    ; matched = 82    ; relevant = 36    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999150e-01 ; pd = 7.184466e-01 ; fa = 0     ; nMatches = 74    ; tp = 35    ; fp = 0     ; tn = 0     ; fn = 47    ; matched = 82    ; relevant = 35    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999330e-01 ; pd = 6.990291e-01 ; fa = 0     ; nMatches = 72    ; tp = 34    ; fp = 0     ; tn = 0     ; fn = 48    ; matched = 82    ; relevant = 34    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999500e-01 ; pd = 6.893204e-01 ; fa = 0     ; nMatches = 71    ; tp = 33    ; fp = 0     ; tn = 0     ; fn = 49    ; matched = 82    ; relevant = 33    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999590e-01 ; pd = 6.504854e-01 ; fa = 0     ; nMatches = 67    ; tp = 32    ; fp = 0     ; tn = 0     ; fn = 50    ; matched = 82    ; relevant = 32    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999610e-01 ; pd = 6.407767e-01 ; fa = 0     ; nMatches = 66    ; tp = 31    ; fp = 0     ; tn = 0     ; fn = 51    ; matched = 82    ; relevant = 31    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999650e-01 ; pd = 6.310680e-01 ; fa = 0     ; nMatches = 65    ; tp = 30    ; fp = 0     ; tn = 0     ; fn = 52    ; matched = 82    ; relevant = 30    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999670e-01 ; pd = 6.019417e-01 ; fa = 0     ; nMatches = 62    ; tp = 29    ; fp = 0     ; tn = 0     ; fn = 53    ; matched = 82    ; relevant = 29    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999680e-01 ; pd = 5.825243e-01 ; fa = 0     ; nMatches = 60    ; tp = 27    ; fp = 0     ; tn = 0     ; fn = 55    ; matched = 82    ; relevant = 27    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999700e-01 ; pd = 5.631068e-01 ; fa = 0     ; nMatches = 58    ; tp = 26    ; fp = 0     ; tn = 0     ; fn = 56    ; matched = 82    ; relevant = 26    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999740e-01 ; pd = 4.660194e-01 ; fa = 0     ; nMatches = 48    ; tp = 24    ; fp = 0     ; tn = 0     ; fn = 58    ; matched = 82    ; relevant = 24    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999770e-01 ; pd = 4.563107e-01 ; fa = 0     ; nMatches = 47    ; tp = 23    ; fp = 0     ; tn = 0     ; fn = 59    ; matched = 82    ; relevant = 23    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
roc threshold = 9.999820e-01 ; pd = 4.368932e-01 ; fa = 0     ; nMatches = 45    ; tp = 21    ; fp = 0     ; tn = 0     ; fn = 61    ; matched = 82    ; relevant = 21    ; nTrueTracks = 103   ; fa-norm = 0.000000e+00
