roc threshold = 5.856150e-01 ; pd = 8.248588e-01 ; fa = 66    ; nMatches = 146   ; tp = 119   ; fp = 66    ; tn = 14    ; fn = 11    ; matched = 130   ; relevant = 185   ; nTrueTracks = 177   ; fa-norm = 6.600000e+01
roc threshold = 5.932080e-01 ; pd = 8.248588e-01 ; fa = 65    ; nMatches = 146   ; tp = 119   ; fp = 65    ; tn = 15    ; fn = 11    ; matched = 130   ; relevant = 184   ; nTrueTracks = 177   ; fa-norm = 6.500000e+01
roc threshold = 5.977940e-01 ; pd = 8.248588e-01 ; fa = 65    ; nMatches = 146   ; tp = 118   ; fp = 65    ; tn = 15    ; fn = 12    ; matched = 130   ; relevant = 183   ; nTrueTracks = 177   ; fa-norm = 6.500000e+01
roc threshold = 6.018930e-01 ; pd = 8.192090e-01 ; fa = 65    ; nMatches = 145   ; tp = 117   ; fp = 65    ; tn = 15    ; fn = 13    ; matched = 130   ; relevant = 182   ; nTrueTracks = 177   ; fa-norm = 6.500000e+01
roc threshold = 6.135980e-01 ; pd = 8.192090e-01 ; fa = 64    ; nMatches = 145   ; tp = 117   ; fp = 64    ; tn = 16    ; fn = 13    ; matched = 130   ; relevant = 181   ; nTrueTracks = 177   ; fa-norm = 6.400000e+01
roc threshold = 6.221420e-01 ; pd = 8.192090e-01 ; fa = 63    ; nMatches = 145   ; tp = 117   ; fp = 63    ; tn = 17    ; fn = 13    ; matched = 130   ; relevant = 180   ; nTrueTracks = 177   ; fa-norm = 6.300000e+01
roc threshold = 6.250750e-01 ; pd = 8.135593e-01 ; fa = 63    ; nMatches = 144   ; tp = 116   ; fp = 63    ; tn = 17    ; fn = 14    ; matched = 130   ; relevant = 179   ; nTrueTracks = 177   ; fa-norm = 6.300000e+01
roc threshold = 6.315820e-01 ; pd = 8.135593e-01 ; fa = 62    ; nMatches = 144   ; tp = 116   ; fp = 62    ; tn = 18    ; fn = 14    ; matched = 130   ; relevant = 178   ; nTrueTracks = 177   ; fa-norm = 6.200000e+01
roc threshold = 6.384190e-01 ; pd = 8.135593e-01 ; fa = 61    ; nMatches = 144   ; tp = 116   ; fp = 61    ; tn = 19    ; fn = 14    ; matched = 130   ; relevant = 177   ; nTrueTracks = 177   ; fa-norm = 6.100000e+01
roc threshold = 6.524360e-01 ; pd = 8.079096e-01 ; fa = 61    ; nMatches = 143   ; tp = 115   ; fp = 61    ; tn = 19    ; fn = 15    ; matched = 130   ; relevant = 176   ; nTrueTracks = 177   ; fa-norm = 6.100000e+01
roc threshold = 6.566590e-01 ; pd = 8.022599e-01 ; fa = 61    ; nMatches = 142   ; tp = 114   ; fp = 61    ; tn = 19    ; fn = 16    ; matched = 130   ; relevant = 175   ; nTrueTracks = 177   ; fa-norm = 6.100000e+01
roc threshold = 6.791250e-01 ; pd = 8.022599e-01 ; fa = 60    ; nMatches = 142   ; tp = 114   ; fp = 60    ; tn = 20    ; fn = 16    ; matched = 130   ; relevant = 174   ; nTrueTracks = 177   ; fa-norm = 6.000000e+01
roc threshold = 6.856380e-01 ; pd = 8.022599e-01 ; fa = 59    ; nMatches = 142   ; tp = 114   ; fp = 59    ; tn = 21    ; fn = 16    ; matched = 130   ; relevant = 173   ; nTrueTracks = 177   ; fa-norm = 5.900000e+01
roc threshold = 7.005700e-01 ; pd = 8.022599e-01 ; fa = 58    ; nMatches = 142   ; tp = 114   ; fp = 58    ; tn = 22    ; fn = 16    ; matched = 130   ; relevant = 172   ; nTrueTracks = 177   ; fa-norm = 5.800000e+01
roc threshold = 7.362830e-01 ; pd = 7.966102e-01 ; fa = 58    ; nMatches = 141   ; tp = 113   ; fp = 58    ; tn = 22    ; fn = 17    ; matched = 130   ; relevant = 171   ; nTrueTracks = 177   ; fa-norm = 5.800000e+01
roc threshold = 7.522120e-01 ; pd = 7.966102e-01 ; fa = 57    ; nMatches = 141   ; tp = 113   ; fp = 57    ; tn = 23    ; fn = 17    ; matched = 130   ; relevant = 170   ; nTrueTracks = 177   ; fa-norm = 5.700000e+01
roc threshold = 7.564500e-01 ; pd = 7.966102e-01 ; fa = 56    ; nMatches = 141   ; tp = 113   ; fp = 56    ; tn = 24    ; fn = 17    ; matched = 130   ; relevant = 169   ; nTrueTracks = 177   ; fa-norm = 5.600000e+01
roc threshold = 7.579090e-01 ; pd = 7.966102e-01 ; fa = 55    ; nMatches = 141   ; tp = 113   ; fp = 55    ; tn = 25    ; fn = 17    ; matched = 130   ; relevant = 168   ; nTrueTracks = 177   ; fa-norm = 5.500000e+01
roc threshold = 7.587110e-01 ; pd = 7.966102e-01 ; fa = 54    ; nMatches = 141   ; tp = 113   ; fp = 54    ; tn = 26    ; fn = 17    ; matched = 130   ; relevant = 167   ; nTrueTracks = 177   ; fa-norm = 5.400000e+01
roc threshold = 7.601660e-01 ; pd = 7.966102e-01 ; fa = 54    ; nMatches = 141   ; tp = 112   ; fp = 54    ; tn = 26    ; fn = 18    ; matched = 130   ; relevant = 166   ; nTrueTracks = 177   ; fa-norm = 5.400000e+01
roc threshold = 7.605240e-01 ; pd = 7.966102e-01 ; fa = 53    ; nMatches = 141   ; tp = 112   ; fp = 53    ; tn = 27    ; fn = 18    ; matched = 130   ; relevant = 165   ; nTrueTracks = 177   ; fa-norm = 5.300000e+01
roc threshold = 7.658520e-01 ; pd = 7.966102e-01 ; fa = 52    ; nMatches = 141   ; tp = 112   ; fp = 52    ; tn = 28    ; fn = 18    ; matched = 130   ; relevant = 164   ; nTrueTracks = 177   ; fa-norm = 5.200000e+01
roc threshold = 7.930660e-01 ; pd = 7.966102e-01 ; fa = 51    ; nMatches = 141   ; tp = 112   ; fp = 51    ; tn = 29    ; fn = 18    ; matched = 130   ; relevant = 163   ; nTrueTracks = 177   ; fa-norm = 5.100000e+01
roc threshold = 7.944360e-01 ; pd = 7.966102e-01 ; fa = 50    ; nMatches = 141   ; tp = 112   ; fp = 50    ; tn = 30    ; fn = 18    ; matched = 130   ; relevant = 162   ; nTrueTracks = 177   ; fa-norm = 5.000000e+01
roc threshold = 7.971760e-01 ; pd = 7.966102e-01 ; fa = 49    ; nMatches = 141   ; tp = 112   ; fp = 49    ; tn = 31    ; fn = 18    ; matched = 130   ; relevant = 161   ; nTrueTracks = 177   ; fa-norm = 4.900000e+01
roc threshold = 8.023140e-01 ; pd = 7.966102e-01 ; fa = 48    ; nMatches = 141   ; tp = 112   ; fp = 48    ; tn = 32    ; fn = 18    ; matched = 130   ; relevant = 160   ; nTrueTracks = 177   ; fa-norm = 4.800000e+01
roc threshold = 8.038740e-01 ; pd = 7.966102e-01 ; fa = 48    ; nMatches = 141   ; tp = 111   ; fp = 48    ; tn = 32    ; fn = 19    ; matched = 130   ; relevant = 159   ; nTrueTracks = 177   ; fa-norm = 4.800000e+01
roc threshold = 8.078240e-01 ; pd = 7.966102e-01 ; fa = 48    ; nMatches = 141   ; tp = 110   ; fp = 48    ; tn = 32    ; fn = 20    ; matched = 130   ; relevant = 158   ; nTrueTracks = 177   ; fa-norm = 4.800000e+01
roc threshold = 8.111940e-01 ; pd = 7.909605e-01 ; fa = 48    ; nMatches = 140   ; tp = 109   ; fp = 48    ; tn = 32    ; fn = 21    ; matched = 130   ; relevant = 157   ; nTrueTracks = 177   ; fa-norm = 4.800000e+01
roc threshold = 8.134390e-01 ; pd = 7.909605e-01 ; fa = 47    ; nMatches = 140   ; tp = 109   ; fp = 47    ; tn = 33    ; fn = 21    ; matched = 130   ; relevant = 156   ; nTrueTracks = 177   ; fa-norm = 4.700000e+01
