roc threshold = 3.997070e-01 ; pd = 9.405941e-01 ; fa = 42    ; nMatches = 95    ; tp = 88    ; fp = 42    ; tn = 15    ; fn = 10    ; matched = 98    ; relevant = 130   ; nTrueTracks = 101   ; fa-norm = 4.200000e+01
roc threshold = 4.172150e-01 ; pd = 9.405941e-01 ; fa = 42    ; nMatches = 95    ; tp = 87    ; fp = 42    ; tn = 15    ; fn = 11    ; matched = 98    ; relevant = 129   ; nTrueTracks = 101   ; fa-norm = 4.200000e+01
roc threshold = 4.215110e-01 ; pd = 9.405941e-01 ; fa = 41    ; nMatches = 95    ; tp = 87    ; fp = 41    ; tn = 16    ; fn = 11    ; matched = 98    ; relevant = 128   ; nTrueTracks = 101   ; fa-norm = 4.100000e+01
roc threshold = 4.260770e-01 ; pd = 9.405941e-01 ; fa = 40    ; nMatches = 95    ; tp = 87    ; fp = 40    ; tn = 17    ; fn = 11    ; matched = 98    ; relevant = 127   ; nTrueTracks = 101   ; fa-norm = 4.000000e+01
roc threshold = 4.275170e-01 ; pd = 9.405941e-01 ; fa = 39    ; nMatches = 95    ; tp = 87    ; fp = 39    ; tn = 18    ; fn = 11    ; matched = 98    ; relevant = 126   ; nTrueTracks = 101   ; fa-norm = 3.900000e+01
roc threshold = 4.295050e-01 ; pd = 9.405941e-01 ; fa = 39    ; nMatches = 95    ; tp = 86    ; fp = 39    ; tn = 18    ; fn = 12    ; matched = 98    ; relevant = 125   ; nTrueTracks = 101   ; fa-norm = 3.900000e+01
roc threshold = 4.447230e-01 ; pd = 9.405941e-01 ; fa = 38    ; nMatches = 95    ; tp = 86    ; fp = 38    ; tn = 19    ; fn = 12    ; matched = 98    ; relevant = 124   ; nTrueTracks = 101   ; fa-norm = 3.800000e+01
roc threshold = 4.506590e-01 ; pd = 9.207921e-01 ; fa = 38    ; nMatches = 93    ; tp = 85    ; fp = 38    ; tn = 19    ; fn = 13    ; matched = 98    ; relevant = 123   ; nTrueTracks = 101   ; fa-norm = 3.800000e+01
roc threshold = 4.568390e-01 ; pd = 9.207921e-01 ; fa = 37    ; nMatches = 93    ; tp = 85    ; fp = 37    ; tn = 20    ; fn = 13    ; matched = 98    ; relevant = 122   ; nTrueTracks = 101   ; fa-norm = 3.700000e+01
roc threshold = 4.798140e-01 ; pd = 9.207921e-01 ; fa = 37    ; nMatches = 93    ; tp = 84    ; fp = 37    ; tn = 20    ; fn = 14    ; matched = 98    ; relevant = 121   ; nTrueTracks = 101   ; fa-norm = 3.700000e+01
